driver_number,lap_number,stint_number,compound,tyre_life,lap_duration,sector1,sector2,sector3,i1_speed,i2_speed,st_speed
81,25,2,HARD,4,101.272,29.271,43.498,28.503,312,274,286
81,26,2,HARD,5,100.802,28.919,43.22,28.663,308,276,295
81,27,2,HARD,6,100.529,28.838,43.227,28.464,311,276,298
81,28,2,HARD,7,101.47,28.824,43.566,29.08,310,283,
81,29,2,HARD,8,101.749,29.184,43.521,29.044,311,283,296
81,30,2,HARD,9,100.553,29.239,43.234,28.08,304,271,294
81,31,2,HARD,10,100.033,28.85,43.088,28.095,,271,
81,32,2,HARD,11,100.104,28.908,43.042,28.154,309,274,293
81,33,2,HARD,12,100.237,29.093,42.993,28.151,306,275,299
81,34,2,HARD,13,101.598,29.281,43.655,28.662,290,275,297
81,35,2,HARD,14,102.204,29.272,44.319,28.613,294,274,285
81,36,2,HARD,15,100.587,28.991,43.659,27.937,310,274,300
81,37,2,HARD,16,100.368,29.168,42.988,28.212,292,267,285
81,38,2,HARD,17,100.858,29.245,43.177,28.436,293,276,288
81,39,2,HARD,18,102.986,29.002,44.677,29.307,308,275,294
81,40,2,HARD,19,100.299,29.013,43.246,28.04,300,267,298
81,41,2,HARD,20,99.982,29.055,42.923,28.004,291,266,286
81,42,2,HARD,21,99.783,29.022,42.856,27.905,292,268,288
81,43,2,HARD,22,112.356,29.214,43.203,39.939,,269,289
81,45,2,HARD,24,112.685,41.296,43.57,27.819,137,267,180
81,46,2,HARD,25,98.492,28.878,42.07,27.544,289,267,287
81,47,2,HARD,26,98.889,28.714,42.433,27.742,,266,286
81,48,2,HARD,27,98.647,28.721,42.281,27.645,290,267,283
81,49,2,HARD,28,99.008,28.678,42.505,27.825,289,266,284
81,50,2,HARD,29,98.832,28.69,42.423,27.719,,266,285
81,51,2,HARD,30,98.656,28.68,42.445,27.531,,267,284
81,52,2,HARD,31,98.793,28.84,42.352,27.601,290,265,
81,53,2,HARD,32,98.773,28.638,42.393,27.742,289,267,285
81,54,2,HARD,33,100.546,28.821,42.635,29.09,290,267,283
81,55,2,HARD,34,100.108,28.9,43.142,28.066,291,267,299
81,56,2,HARD,35,99.141,28.875,42.442,27.824,290,268,283
81,57,2,HARD,36,99.14,28.778,42.589,27.773,,268,284
81,58,2,HARD,37,99.516,28.76,42.758,27.998,,268,285
81,59,2,HARD,38,99.428,28.846,42.82,27.762,291,268,287
81,60,2,HARD,39,99.189,28.727,42.662,27.8,290,267,285
81,61,2,HARD,40,99.616,28.891,42.782,27.943,291,267,284
81,62,2,HARD,41,101.41,28.724,44.596,28.09,,269,
